Type_Name	ASN1_Type	Parent_Type	Tag/ID	Field_Name	IE_Type	Criticality	Optional	Extensible	Min_Value	Max_Value
RICsubscriptionList-Item	SEQUENCE	RICsubscriptionList-Item		ricAction-list	RICaction-List					
RICsubscriptionList-Item	SEQUENCE	RICsubscriptionList-Item		ricRequestID	RICrequestID					
RICsubscriptionLoad-ItemIE	SEQUENCE	RICsubscriptionLoad-ItemIE		ricActionLoad-list	RICactionLoad-List					
RICsubscriptionLoad-ItemIE	SEQUENCE	RICsubscriptionLoad-ItemIE		ricRequestID	RICrequestID					
RICsubscriptionLoad-ItemIE	SEQUENCE	RICsubscriptionLoad-ItemIE		ricSubscriptionLoadInformation	RICloadInformation					
RICsubscriptionLoadConfirm-ItemIE	SEQUENCE	RICsubscriptionLoadConfirm-ItemIE		ricActionLoadConfirm-list	RICactionLoadConfirm-List					
RICsubscriptionLoadConfirm-ItemIE	SEQUENCE	RICsubscriptionLoadConfirm-ItemIE		ricRequestID	RICrequestID					
RICsubscriptionLoadConfirm-ItemIE	SEQUENCE	RICsubscriptionLoadConfirm-ItemIE		ricSubscriptionLoadConfirm	RICloadConfirm					
RICsubscriptionLoadRequest-ItemIE	SEQUENCE	RICsubscriptionLoadRequest-ItemIE		ricActionLoadRequest-list	RICactionLoadRequest-List					
RICsubscriptionLoadRequest-ItemIE	SEQUENCE	RICsubscriptionLoadRequest-ItemIE		ricRequestID	RICrequestID					
RICsubscriptionLoadRequest-ItemIE	SEQUENCE	RICsubscriptionLoadRequest-ItemIE		ricSubscriptionLoadRequest	RICloadRequest					
RICsubscriptionModificationConfirm	SEQUENCE	RICsubscriptionModificationConfirm		protocolIEs	ProtocolIE-Container					
RICsubscriptionModificationFailure	SEQUENCE	RICsubscriptionModificationFailure		protocolIEs	ProtocolIE-Container					
RICsubscriptionModificationRefuse	SEQUENCE	RICsubscriptionModificationRefuse		protocolIEs	ProtocolIE-Container					
RICsubscriptionModificationRequest	SEQUENCE	RICsubscriptionModificationRequest		protocolIEs	ProtocolIE-Container					
RICsubscriptionModificationRequired	SEQUENCE	RICsubscriptionModificationRequired		protocolIEs	ProtocolIE-Container					
RICsubscriptionModificationResponse	SEQUENCE	RICsubscriptionModificationResponse		protocolIEs	ProtocolIE-Container					
RICsubscriptionRequest	SEQUENCE	RICsubscriptionRequest		protocolIEs	ProtocolIE-Container					
RICsubscriptionResponse	SEQUENCE	RICsubscriptionResponse		protocolIEs	ProtocolIE-Container					
RICsubscriptionStateControlFailure	SEQUENCE	RICsubscriptionStateControlFailure		protocolIEs	ProtocolIE-Container					
RICsubscriptionStateControlRequest	SEQUENCE	RICsubscriptionStateControlRequest		protocolIEs	ProtocolIE-Container					
RICsubscriptionStateControlResponse	SEQUENCE	RICsubscriptionStateControlResponse		protocolIEs	ProtocolIE-Container					
RICsubsequentAction	SEQUENCE	RICsubsequentAction		ricSubsequentActionType	RICsubsequentActionType					
RICsubsequentAction	SEQUENCE	RICsubsequentAction		ricTimeToWait	RICtimeToWait					
ResetRequest	SEQUENCE	ResetRequest		protocolIEs	ProtocolIE-Container					
ResetResponse	SEQUENCE	ResetResponse		protocolIEs	ProtocolIE-Container					
SuccessfulOutcome	SEQUENCE	SuccessfulOutcome		procedureCode	E2AP-ELEMENTARY-PROCEDURE					
TNLinformation	SEQUENCE	TNLinformation		tnlAddress	BIT					
TNLinformation	SEQUENCE	TNLinformation		tnlPort	BIT					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		procedureCode	E2AP-ELEMENTARY-PROCEDURE					
